Tm,G,HR
Arizona Diamondbacks,162,211
Atlanta Braves,162,213
Baltimore Orioles,162,235
Boston Red Sox,162,194
Chicago Cubs,162,170
Chicago White Sox,162,133
Cincinnati Reds,162,174
Cleveland Guardians,161,185
Colorado Rockies,162,179
Detroit Tigers,162,162
Houston Astros,161,190
Kansas City Royals,162,170
Los Angeles Angels,162,165
Los Angeles Dodgers,162,233
Miami Marlins,162,150
Milwaukee Brewers,162,177
Minnesota Twins,162,183
New York Mets,162,207
New York Yankees,162,237
Oakland Athletics,162,196
Philadelphia Phillies,162,198
Pittsburgh Pirates,162,160
San Diego Padres,162,190
Seattle Mariners,162,185
San Francisco Giants,162,177
St. Louis Cardinals,162,165
Tampa Bay Rays,162,147
Texas Rangers,162,176
Toronto Blue Jays,162,156
Washington Nationals,162,135
