Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,OBP,SLG,OPS,Player-additional
1,Francisco Lindor#,31,NYM,160,732,644,117,172,35,0,31,86,0.346,0.466,0.811,lindofr01
2,Rafael Devers*,28,2TM,163,729,607,99,153,33,0,35,109,0.372,0.479,0.851,deverra01
2,Rafael Devers*,28,BOS,73,334,272,47,74,18,0,15,58,0.401,0.504,0.905,deverra01
2,Rafael Devers*,28,SFG,90,395,335,52,79,15,0,20,51,0.347,0.46,0.807,deverra01
3,Shohei Ohtani*,30,LAD,158,727,611,146,172,25,9,55,102,0.392,0.622,1.014,ohtansh01
4,Matt Olson*,31,ATL,162,724,624,98,170,41,2,29,95,0.366,0.484,0.85,olsonma02
5,Kyle Schwarber*,32,PHI,162,724,604,111,145,23,2,56,132,0.365,0.563,0.928,schwaky01
6,Geraldo Perdomo#,25,ARI,161,720,597,98,173,33,5,20,100,0.389,0.462,0.851,perdoge01
7,Juan Soto*,26,NYM,160,715,577,120,152,20,1,43,105,0.396,0.525,0.921,sotoju01
8,Julio Rodríguez,24,SEA,160,710,652,106,174,31,4,32,95,0.324,0.474,0.798,rodriju01
9,Pete Alonso,30,NYM,162,709,624,87,170,41,1,38,126,0.347,0.524,0.871,alonspe01
10,Randy Arozarena,30,SEA,160,709,613,95,146,32,1,27,76,0.334,0.426,0.76,arozara01
11,Cal Raleigh#,28,SEA,159,705,596,110,147,24,0,60,125,0.359,0.589,0.948,raleica01
12,Elly De La Cruz#,23,CIN,162,699,629,102,166,31,7,22,86,0.336,0.44,0.777,delacel01
13,Brent Rooker,30,ATH,162,699,626,92,164,40,3,30,89,0.335,0.479,0.814,rookebr01
14,Jarren Duran*,28,BOS,157,696,620,86,159,41,13,16,84,0.332,0.442,0.774,duranja01
15,Heliot Ramos,25,SFG,157,695,620,85,159,24,1,21,69,0.328,0.4,0.728,ramoshe02
16,Steven Kwan*,27,CLE,156,693,625,81,170,29,1,11,56,0.33,0.374,0.705,kwanst01
17,Fernando Tatis Jr.,26,SDP,155,691,594,111,159,27,2,25,71,0.368,0.446,0.814,tatisfe02
18,James Wood*,22,WSN,157,689,598,87,153,38,0,31,94,0.35,0.475,0.825,woodja03
19,Bobby Witt Jr.,25,KCR,157,687,623,99,184,47,6,23,88,0.351,0.501,0.852,wittbo02
20,Willy Adames,29,SFG,160,686,591,94,133,22,2,30,87,0.318,0.421,0.74,adamewi01
21,TJ Friedl*,29,CIN,152,685,579,82,151,22,2,14,53,0.364,0.378,0.742,friedtj01
22,Vinnie Pasquantino*,27,KCR,160,682,621,72,164,33,1,32,113,0.323,0.475,0.798,pasquvi01
23,Vladimir Guerrero Jr.,26,TOR,156,680,589,96,172,34,0,23,84,0.381,0.467,0.848,guerrvl02
24,Aaron Judge,33,NYY,152,679,541,137,179,30,2,53,114,0.457,0.688,1.144,judgeaa01
25,Manny Machado,32,SDP,159,678,615,91,169,33,0,27,95,0.335,0.46,0.795,machama01
26,Luis Arráez*,28,SDP,154,675,620,66,181,30,4,8,61,0.327,0.392,0.719,arraelu01
27,José Ramírez#,32,CLE,158,673,593,103,168,34,3,30,85,0.36,0.503,0.863,ramirjo01
28,Ozzie Albies#,28,ATL,157,667,603,74,145,23,2,16,74,0.306,0.365,0.671,albieoz01
